module,attributes,classifier,technique,metric,score
aaa,asmt,knn,ae,accuracy,0.9661016949152542
aaa,asmt,knn,ae,fscore,0.0
aaa,asmt,knn,ae,precision,0.0
aaa,asmt,knn,ae,recall,0.0
aaa,stdnt,knn,ae,accuracy,0.9661016949152542
aaa,stdnt,knn,ae,fscore,0.0
aaa,stdnt,knn,ae,precision,0.0
aaa,stdnt,knn,ae,recall,0.0
aaa,abd,knn,ae,accuracy,0.9640677966101696
aaa,abd,knn,ae,fscore,0.0
aaa,abd,knn,ae,precision,0.0
aaa,abd,knn,ae,recall,0.0
aaa,abi,knn,ae,accuracy,0.9661016949152542
aaa,abi,knn,ae,fscore,0.0027081922816519968
aaa,abi,knn,ae,precision,0.5
aaa,abi,knn,ae,recall,0.04
aaa,asmt_stdnt,knn,ae,accuracy,0.9661016949152542
aaa,asmt_stdnt,knn,ae,fscore,0.0
aaa,asmt_stdnt,knn,ae,precision,0.0
aaa,asmt_stdnt,knn,ae,recall,0.0
aaa,asmt_abd,knn,ae,accuracy,0.9654237288135592
aaa,asmt_abd,knn,ae,fscore,0.0
aaa,asmt_abd,knn,ae,precision,0.0
aaa,asmt_abd,knn,ae,recall,0.0
aaa,asmt_abi,knn,ae,accuracy,0.9654237288135592
aaa,asmt_abi,knn,ae,fscore,0.0013550135501355016
aaa,asmt_abi,knn,ae,precision,0.3333333333333333
aaa,asmt_abi,knn,ae,recall,0.02
aaa,stdnt_abd,knn,ae,accuracy,0.9661016949152542
aaa,stdnt_abd,knn,ae,fscore,0.0
aaa,stdnt_abd,knn,ae,precision,0.0
aaa,stdnt_abd,knn,ae,recall,0.0
aaa,stdnt_abi,knn,ae,accuracy,0.9654237288135592
aaa,stdnt_abi,knn,ae,fscore,0.0
aaa,stdnt_abi,knn,ae,precision,0.0
aaa,stdnt_abi,knn,ae,recall,0.0
aaa,asmt_stdnt_abd,knn,ae,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,knn,ae,fscore,0.0
aaa,asmt_stdnt_abd,knn,ae,precision,0.0
aaa,asmt_stdnt_abd,knn,ae,recall,0.0
aaa,asmt_stdnt_abi,knn,ae,accuracy,0.9647457627118644
aaa,asmt_stdnt_abi,knn,ae,fscore,0.0
aaa,asmt_stdnt_abi,knn,ae,precision,0.0
aaa,asmt_stdnt_abi,knn,ae,recall,0.0
